source_system,import_set_table,load_file,source_column,target_table,target_field,field_kind,coalesce,referenced_value_field,choice_action,script,target_field_status,notes
adaptive,u_imp_adaptive_task,adaptive/03_pm_project_task.csv,u_end_date,pm_project_task,end_date,Date,,,,,out-of-box - verify with validate-fields,Date format yyyy-MM-dd
adaptive,u_imp_adaptive_task,adaptive/03_pm_project_task.csv,u_work_start,pm_project_task,work_start,Date,,,,,out-of-box - verify with validate-fields,Date format yyyy-MM-dd
adaptive,u_imp_adaptive_task,adaptive/03_pm_project_task.csv,u_work_end,pm_project_task,work_end,Date,,,,,out-of-box - verify with validate-fields,Date format yyyy-MM-dd
adaptive,u_imp_adaptive_task,adaptive/03_pm_project_task.csv,u_percent_complete,pm_project_task,percent_complete,Number,,,,,out-of-box - verify with validate-fields,
adaptive,u_imp_adaptive_task,adaptive/03_pm_project_task.csv,u_time_constraint,pm_project_task,time_constraint,Choice,,,reject,,out-of-box - verify with validate-fields,Values from value map 'constant' - must be stored values
adaptive,u_imp_adaptive_dependency,adaptive/04_planned_task_rel_planned_task.csv,u_predecessor_correlation_id,planned_task_rel_planned_task,parent,Reference (scripted),Yes,,,"answer = new SPMMigrationUtil().byCorrelation('planned_task', source.u_predecessor_correlation_id);",out-of-box,Field map script (docs/05 section 4)
adaptive,u_imp_adaptive_dependency,adaptive/04_planned_task_rel_planned_task.csv,u_successor_correlation_id,planned_task_rel_planned_task,child,Reference (scripted),Yes,,,"answer = new SPMMigrationUtil().byCorrelation('planned_task', source.u_successor_correlation_id);",out-of-box,Field map script (docs/05 section 4)
adaptive,u_imp_adaptive_dependency,adaptive/04_planned_task_rel_planned_task.csv,u_type,planned_task_rel_planned_task,type,Choice,,,reject,,out-of-box - verify with validate-fields,Values from value map 'dependency_type' - must be stored values
adaptive,u_imp_adaptive_dependency,adaptive/04_planned_task_rel_planned_task.csv,u_lag,planned_task_rel_planned_task,lag,Number,,,,,out-of-box - verify with validate-fields,
adaptive,u_imp_adaptive_status,adaptive/05_project_status.csv,u_project_correlation_id,project_status,project,Reference (scripted),Yes,,,"answer = new SPMMigrationUtil().byCorrelation('pm_project', source.u_project_correlation_id);",out-of-box,Field map script (docs/05 section 4)
adaptive,u_imp_adaptive_status,adaptive/05_project_status.csv,u_as_on,project_status,as_on,Date,,,,,out-of-box - verify with validate-fields,Date format yyyy-MM-dd
adaptive,u_imp_adaptive_status,adaptive/05_project_status.csv,u_overall_health,project_status,overall_health,Choice,,,reject,,out-of-box - verify with validate-fields,Values from value map 'health' - must be stored values
adaptive,u_imp_adaptive_status,adaptive/05_project_status.csv,u_schedule,project_status,schedule,Choice,,,reject,,out-of-box - verify with validate-fields,Values from value map 'health' - must be stored values
adaptive,u_imp_adaptive_status,adaptive/05_project_status.csv,u_cost,project_status,cost,Choice,,,reject,,out-of-box - verify with validate-fields,Values from value map 'health' - must be stored values
adaptive,u_imp_adaptive_status,adaptive/05_project_status.csv,u_resources,project_status,resources,Choice,,,reject,,out-of-box - verify with validate-fields,Values from value map 'health' - must be stored values
adaptive,u_imp_adaptive_status,adaptive/05_project_status.csv,u_scope,project_status,scope,Choice,,,reject,,out-of-box - verify with validate-fields,Values from value map 'health' - must be stored values
adaptive,u_imp_adaptive_status,adaptive/05_project_status.csv,u_risk_health,project_status,u_risk_health,Choice,,,reject,,PROPOSED - create before load,Values from value map 'health' - must be stored values
adaptive,u_imp_adaptive_status,adaptive/05_project_status.csv,u_comments,project_status,comments,String / text,,,,,out-of-box - verify with validate-fields,
